component_id,box_id,first_detected,assignment_method
3270,51,2025-06-15 00:44:59.907029,middle_line
3273,51,2025-06-15 00:45:00.249411,middle_line
3284,27,2025-06-15 00:45:02.039289,middle_line
3289,51,2025-06-15 00:45:02.373173,zone
3316,51,2025-06-15 00:45:05.965730,middle_line
3323,51,2025-06-15 00:45:07.640381,middle_line
3333,27,2025-06-15 00:45:14.305307,middle_line
3338,51,2025-06-15 00:45:14.875331,middle_line
3339,51,2025-06-15 00:45:15.776448,middle_line
3345,27,2025-06-15 00:45:16.858393,middle_line
3349,27,2025-06-15 00:45:19.204932,middle_line
3350,27,2025-06-15 00:45:19.204932,middle_line
3352,27,2025-06-15 00:45:19.565668,middle_line
3357,51,2025-06-15 00:45:20.497611,middle_line
3375,27,2025-06-15 00:45:25.226952,middle_line
3389,27,2025-06-15 00:45:29.137504,middle_line
3390,51,2025-06-15 00:45:29.775849,middle_line
3393,27,2025-06-15 00:45:30.762056,middle_line
3398,27,2025-06-15 00:45:31.432382,middle_line
3444,27,2025-06-15 00:45:47.263966,zone
3452,51,2025-06-15 00:45:48.893554,middle_line
3456,27,2025-06-15 00:45:51.021518,middle_line
3463,27,2025-06-15 00:45:57.055602,zone
3489,27,2025-06-15 00:46:07.164020,middle_line
3493,51,2025-06-15 00:46:11.369004,middle_line
3496,27,2025-06-15 00:46:18.542691,middle_line
3503,27,2025-06-15 00:46:22.983967,middle_line
3512,51,2025-06-15 00:46:32.294935,middle_line
3513,51,2025-06-15 00:46:38.047487,middle_line
3515,51,2025-06-15 00:46:40.937908,middle_line
